country,utility name,utility code,utility ID,year,Type of connection, Total number of connections (residential and non-residential) in the utility area,Total Number of residential connections in the utility area,Total electricity sold per year (MWh),Length of distribution network (km) ,Total number of employees ,Average wholesale price paid per MWh (local nominal currency),Average transmission charges per MWh purchased (local nominal currency),OPEX (operation expenditures) of the distribution services (local nominal currency),CAPEX (captial expenditures) of the distribution services (local nominal currency) ,TOTEX (total expenditures) of the distribution network (local nominal currency),Energy losses in distribution per year (due to technical losses and illegal connections) %,Energy losses in distribution per year due to technical losses %,Energy losses in distribution per year due to non-technical losses (illegal connections) %,Average duration of interruptions per subscriber (hours/year),Average frequency of interruptions per subscriber (# interruptions / year),Number of residential subscribers per 100 households in the concession area (Residential coverage) # / 100 households,Number of customer complaints per year,Average duration between customer complaint and the solution of the problem (hours),Average residential tariff (local nominal currency / MWh),Average industrial tariff (local nominal currency / MWh),Installation Cost (residential) local nominal currency,Installation Cost (Industrial) local nominal currency,Year of privatization,Residencial conexions per employee,Energy sold per employee
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1994,Elec - Distribution,589008,,2961442.739,24046,2055.054271,,,,,,0.178,,,,,,,,,,,,0,,1441.0533
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1995,Elec - Distribution,710188,579691,3605894.515,33415.54,2610,55386,12835,51566467661,57550542986,1.09E+11,0.1731,0.0641,0.109,8.34,17.78,0.694,43333,,95460,68920,,,0,222.1038314,1381.56878
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1996,Elec - Distribution,785280,647040,3802143.296,39952.04,2682,65317,13127,73128464162,31578443618,1.05E+11,0.1998,0.0707,0.1291,18.85,17.29,0.747,45118,,117960,85230,,,0,241.2527964,1417.652236
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1997,Elec - Distribution,850947,707179,3973477.997,45892.74,2754,80853,13961,86225888875,43585547912,1.30E+11,0.2285,0.0835,0.145,12.65,18.15,0.79,49173,,135140,95020,,,0,256.7824982,1442.802468
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1998,Elec - Distribution,897494,749033,4079504.871,48422.2,2988,93392,13800,98066497237,1.76E+11,2.74E+11,0.2366,0.0775,0.1591,17.07,21.94,0.816,49834,,159890,110890,,,0,250.6803882,1365.296142
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1999,Elec - Distribution,856545,719159,4815296.785,50637.75,2994,110446,16312,91568659622,64483211429,1.56E+11,0.21,0.0843,0.1257,7.13,13.32,0.823,38173,,161702.9087,98855.26838,,,0,240.2000668,1608.315559
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2000,Elec - Distribution,921328,776047,5067972.726,52077.02,2992,108627,17067,1.03E+11,27444288490,1.31E+11,0.2164,0.0818,0.1346,10.51,15.8,0.831,41153,,171350,111020,,,0,259.3739973,1693.841152
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2001,Elec - Distribution,959579,812964,5138684.847,53546.51,3018,145747,19041,1.09E+11,45368471562,1.55E+11,0.2205,0.0553,0.1652,11.09,16.97,0.84,58835,,232100,146100,,,0,269.3717694,1702.678876
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2002,Elec - Distribution,964448,819693,5074302.891,54443.35,3090,207694,18581,1.03E+11,64274497756,1.68E+11,0.2611,0.0819,0.1792,6.67,13.79,0.891,49505,,299660,198220,,,0,265.2728155,1642.16922
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2003,Elec - Distribution,976278,835201,4932154.199,55541.63,2990,129730,25535,1.41E+11,99178945261,2.40E+11,0.2746,0.0685,0.2061,10.47,15.44,0.906,48904,0.743055556,348430,219980,,,0,279.3314381,1649.549899
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2004,Elec - Distribution,1000156,881602,5166682.24,56200.53,3116,135518,24382,1.53E+11,66051983660,2.19E+11,0.2956,0.065,0.2306,9.3,14.93,0.92,49873,1.210916667,349630,214170,,,0,282.9274711,1658.113684
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2005,Elec - Distribution,1006650,871534,5157001.688,56845.55,3259,154874,24978,1.48E+11,54794220809,2.03E+11,0.3103,0.0773,0.233,7.58,16.4,0.932,52033,1.638583333,352340,212840,102932,,0,267.4237496,1582.387753
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2006,Elec - Distribution,1072841,923288,5849330.858,57627.89,3292,133902.7193,25934.38318,1.83E+11,69932634242,2.53E+11,0.3109,0.081,0.23,15.97,18.21,0.9385,55045,2.401388889,355830,216400,,,,,
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2007,Elec - Distribution,1082743,932967,6097120.574,58211.65,3325,113971.8044,23818.77604,2.01E+11,51678891781,2.52E+11,0.3108,0.076,0.235,7.19,14.94,0.9498,60284,2.756944444,355830,216400,,,,,
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,1992,Elec - Distribution,1014000,464412,6435000,,,,,,,,,,,,,,,,,,,,0,,
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,1993,Elec - Distribution,1035000,475065,5972000,,,,,,,,,,,,,,,,,,,,0,,
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,1994,Elec - Distribution,1056082,718423,5279000,,,,,,,,,,,,,,,,,,,,0,,
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,1995,Elec - Distribution,1077164,961781,4978000,48909,5794,,,,,,0.1804,,,36.5,22.37,,,,784.7363972,304.1170989,,,0,165.9960304,859.1646531
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,1996,Elec - Distribution,1093141,976013,5187000,51744,5296,,,,,,0.1931,,,24.9,18.53,,,,991.6919014,378.6604929,,,0,184.2924849,979.418429
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,1997,Elec - Distribution,1116456,997117,5531000,56462,4425,,,,,,0.1802,,,23.4,19.25,0.9417,,1.28,1214.215495,454.1505857,,,0,225.3371751,1249.943503
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,1998,Elec - Distribution,1143757,1022073,5863000,58407,4445,,,,,,0.147,,,19.9,15.38,0.943,,1.38,1340.416016,516.269606,,,0,229.9376828,1319.010124
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,1999,Elec - Distribution,1169249,1046739,6184000,53861,4477,,,,,,0.14,,,22.6,16.32,0.944,,1.49,1391.295269,526.1295883,,,0,233.8036632,1381.282109
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,2000,Elec - Distribution,1184057,1061383,6434000,57706,4146,,,,,,0.138,,,31.23,17.4,0.944,,1.89,1426.590045,544.5000172,,,0,256.0016884,1551.857212
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,2001,Elec - Distribution,1195767,1073336,6426000,59779,4039,,,,,,0.145,,,22.3,18.63,0.944,,1.3,1481.072827,575.3808105,,,0,265.7430057,1590.987868
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,2002,Elec - Distribution,1186990,1067164,6151000,61661,3863,,,,,,0.158,,,19.8,13.79,0.944,,1.38,1830.227697,714.235199,,,0,276.2526534,1592.285788
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,2003,Elec - Distribution,1187430,1067727,5978000,62826,3779,,,,,,0.192,,,14.7,9.79,0.944,,1.66,2346.98877,942.1805878,,,0,282.5422069,1581.899974
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,2004,Elec - Distribution,1211226,1086775,6304000,64428,3713,,,,,,0.194,,,9.8,7.23,0.944,,1.44,2632.129209,1079.259087,,,0,292.6945866,1697.818476
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,2005,Elec - Distribution,1217021,1091523,6515000,66595,3716,,,,,,0.18,,,27.4,8.02,,,3.79,2866.607946,1248.479977,,,0,293.7360065,1753.229279
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,2006,Elec - Distribution,1232664,1102498,6613000,68464,3669,,,,,,,,,11.6,5.48,0.987,,,3263.28464,1443.42384,,,0,300.4900518,1802.398474
Uruguay,Administracion Nacional de Usinas y Transmisiones Electricas ,UTE,204001,2007,Elec - Distribution,1244931,1109510,7112000,70052,3593,,,,,,,,,,,,,,3505.345851,1620.077312,,,0,308.7976621,1979.404397
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,1992,Elec - Distribution,89134,71933,300000,,,,,,,,0.071,,,,,0.92389877,,,,,,,0,,
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,1993,Elec - Distribution,93176,75259,312550,,,,,,,,0.085,,,,,0.94795143,,,,,,,0,,
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,1994,Elec - Distribution,96435,76509,336820,2171,,,,,,,0.082,,,,,0.94543915,,,,,,,0,,
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,1995,Elec - Distribution,97986,79325,349247,2800,161,,,,,,0.073,,,,,0.96201187,,,,,,,0,492.7018634,2169.236025
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,1996,Elec - Distribution,102716,81761,364664,2867,162,,,,,,0.0638,,,,,0.97345528,,,,,,,0,504.6975309,2251.012346
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,1997,Elec - Distribution,105761,85358,369965,,,,,,,,0.0641,,,,,0.99806366,,,,,,,0,,
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,1998,Elec - Distribution,107137,86719,417100,3253.600098,160,,,,,,0.0649,,,,,0.99612091,,,,,,,0,541.99375,2606.875
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,1999,Elec - Distribution,109169,88288,444200,3253.600098,164,,,,,,0.0589,,,,,0.99659332,,,,,,,0,538.3414634,2708.536585
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,2000,Elec - Distribution,110945,89440,448800,3351.199951,164,,,,,,0.0569,,,,,0.99242256,,,,,,,0,545.3658537,2736.585366
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,2001,Elec - Distribution,109934,90172,457700,3458,158,,,,,,0.54400002,,,,,0.98380905,,,,,,,0,570.7088608,2896.835443
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,2002,Elec - Distribution,111449,91902,442300,3458,158,,,,,,0.0456,,,,,0.98618828,,,,,,,0,581.6582278,2799.367089
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,2003,Elec - Distribution,115751,95140,473000,3490,156,,,,,,,,,,,1.00441071,,,,,,,0,609.8717949,3032.051282
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,2004,Elec - Distribution,,,,2287.6,158,,,,,,,,,,,,,,,,,,0,,
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,2005,Elec - Distribution,,,,2490,160,,,,,,,,,,,,,,,,,,0,,
Argentina,Administracion Provincial de Energia de la Pampa,APELP,90236,2006,Elec - Distribution,1813,1569,5157,2490,160,,,,,,,,,,,,,,,,,,,,
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,1990,Elec - Distribution,123743.4948,114185.0216,326691.8803,,343.7544611,,,,,,0.158578512,,,,,0.523185664,,,417.5109526,,,,0,332.1702973,950.3640453
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,1991,Elec - Distribution,131810.5202,121628.9156,356302.5496,,339.9752493,,,,,,0.158578512,,,,,0.545670511,,,510.959217,,,,0,357.7581482,1048.024968
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,1992,Elec - Distribution,140403.4472,129558.0884,388597.0682,,336.2375859,,,,,,0.158578512,,,,,0.569121686,,,629.279604,,,,0,385.3170908,1155.721682
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,1993,Elec - Distribution,149556.56,138004.176,423818.6944,,332.5410141,,,,,,0.158578512,,,,,0.593580718,,,763.9252995,,,,0,414.9989629,1274.485482
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,1994,Elec - Distribution,159306.3781,147000.8767,462232.7353,,328.8850821,,,,,,0.158578512,,,,,0.61909092,,,889.8664556,,,,0,446.9672987,1405.453639
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,1995,Elec - Distribution,170225.5154,157076.5734,506191.9315,,326.4068522,,,,,,0.127066116,,,,,0.64569747,,,1085.702681,,,,0,481.2293993,1550.800567
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,1996,Elec - Distribution,178763.0294,164954.6136,522900,,336,,,,,,0.131132231,,,,,0.666785567,,,1180.917793,,,,0,490.93635,1556.25
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,1997,Elec - Distribution,187865.6744,173354.1316,562300,,314.2968172,,,,,,0.126049587,,,,,0.687873665,,,1179.651057,,,,0,551.5618424,1789.07316
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,1998,Elec - Distribution,197594,182331,523956,,309.579772,,,,,,0.107752066,,,,,0.710970153,,,1180.917692,,,,1,588.9628991,1692.474921
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,1999,Elec - Distribution,206009,190335,568575,4152,275,,,,,,0.123,,,,,0.729879097,,,1140.266681,,,,1,692.1272727,2067.545455
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,2000,Elec - Distribution,219475.6034,201920.1008,584266,5871,272,,,,,,0.126,,,,,0.75763815,,,1242.910958,,,,1,742.3533116,2148.036765
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,2001,Elec - Distribution,233873.2111,214210.3507,538733,6939,283,,,,,,0.14,,,,,0.773205026,,,1299.08022,,,,1,756.9270342,1903.650177
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,2002,Elec - Distribution,239184,217731,566502,6244,272,,,,,,0.1291,0.083,0.046,,,0.780436313,14843,,1269.624971,925.7499791,,,1,800.4816176,2082.727941
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,2003,Elec - Distribution,249072,228237,623904,7835,268,,,,,,0.1151,0.083,0.032,2.3,1.07,0.81239312,19874,,1266.999971,938.8749789,,,1,851.630597,2328
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,2004,Elec - Distribution,262590,239657,730800,8615,237,,,,,,0.1137,0.089,0.025,38.55,21.32,,22762,,1209.249973,918.7499793,,,1,1011.21097,3083.544304
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,2005,Elec - Distribution,273160,249856,769700,8786,228,,,,,,0.0992,0.0984,0.0008,23.47,10.98,,122751,,1287.999971,947.6249787,,,1,1095.859649,3375.877193
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,2006,Elec - Distribution,278451,,,,,,,,,,0.105,,,,,,,,1337.3266,,,,,,
El Salvador,"AES CLESA y Compañía, S. en C. de C.V.",AES CLESA,110103,2007,Elec - Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1987,Elec - Distribution,591706.2904,534774.4862,2761170.236,,2223.055125,,,,,,0.094345494,,,,,,,,,,,,0,240.558356,1242.061074
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1988,Elec - Distribution,630223.6771,572701.8238,2829569.609,,2160.49679,,,,,,0.109866645,,,,,,,,,,,,0,265.0787664,1309.684709
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1989,Elec - Distribution,647255.7379,588396.493,3016519.202,,2163.289573,,,,,,0.116873585,,,,,,,,,,,,0,271.9915542,1394.413046
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1990,Elec - Distribution,664161.5173,580290.3978,3182454.45,,2354.6923,,,,,,0.107001176,,,,,,,,,,,,0,246.4400116,1351.53729
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1991,Elec - Distribution,691807.6134,572295.9771,3357517.606,,2563.029887,,,,,,0.097962698,,,,,,,,,,,,0,223.2888426,1309.979889
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1992,Elec - Distribution,712943.4052,589566.8417,3427316.307,,2521.040227,,,,,,0.112228156,,,,,,,,,,,,0,233.8585618,1359.484974
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1993,Elec - Distribution,740350.5278,612257.6675,3648236.232,,2228.568374,,,,,,0.107627093,,,,,,,,,,,,0,274.7313812,1637.031322
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1994,Elec - Distribution,768811.2477,635821.8014,3883396.34,,1970.026875,,,,,,0.10321466,,,,,,,,,,,,0,322.7477806,1971.240286
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1995,Elec - Distribution,789100.9528,652601.7808,4026356.568,,1740.834625,,,,,,0.105882725,,,,,,,,45.46693096,,,,0,374.8786769,2312.888606
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1996,Elec - Distribution,809926.1238,669824.6008,4362685.979,,1657.05114,,,,,,0.108619759,,,,,,,,62.68478529,,,,0,404.226873,2632.801049
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1997,Elec - Distribution,833320,674860,4478614,,841,,,,,,0.093101325,,,23.13,27.22,0.801761152,,,73.61369947,,,,0,802.4494649,5325.343639
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1998,Elec - Distribution,858637,693472,6227289,,937,,,,,,0.0798,,,17.53,19.98,0.806186148,,,77.8865679,,,,1,740.0981857,6645.986126
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,1999,Elec - Distribution,899852,727155,6796673,29701.74905,718,,,195890000,,195890000,0.0798,,,18.26,17.11,0.827196096,,,81.23569032,,,,1,1012.750696,9466.118384
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,2000,Elec - Distribution,924811,747563,7339499,31036.96,792,,,183114000,41160000,224274000,0.061,,,24.45,18.59,0.843111996,,,98.24644387,,,,1,943.8926768,9267.044192
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,2001,Elec - Distribution,947967,767395,7203202,30617.72,787,,,162528000,71420000,233948000,0.06,,,20.42,18.85,0.858049663,,,118.8192492,,,,1,975.0889454,9152.734435
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,2002,Elec - Distribution,971111,789881,7370352,,694,,,215535000,54556000,270091000,0.0576,,,19.75,16.38,0.874484509,,,143.7,,,,1,1138.157061,10620.10375
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,2003,Elec - Distribution,994529,819845,7639000,,707,,,231163000,49214000,280377000,0.0601,,,18.96,13.27,0.898810869,,,158.6257082,,,,1,1159.611033,10804.80905
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,2004,Elec - Distribution,1021915,840270,8023000,,725,,,254725000,59775000,314500000,0.077395488,,,14.09,10.55,0.9923,,,274.28,,,,1,1158.993103,11066.2069
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,2005,Elec - Distribution,1045714,858445,7669000,,771,,,167562000,90162000,257724000,0.073968053,,,20.99,12.5,0.99,,,281.59,,,,1,1113.417639,9946.822309
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,2006,Elec - Distribution,1071856,878388,6905000,53417,810,87.81,5.092,447016000,158267000,605283000,0.0911,0.0515,0.0396,17.3,11.4,1,714575,,278.12,167.05,,,1,1084.42963,8524.691358
Brazil,AES SUL Distribuidora Gaúcha de Energia S/A,AES Sul – RS,90352,2007,Elec - Distribution,,,,,,,,,,,,,,,,,,,,,,,1,,
Antigua and Barbuda ,Antigua Public Utilities Authority,APUA,206001,2000,Elec - Distribution,,,,,,,,,,,,,,,,,,,,,,,0,,
Antigua and Barbuda ,Antigua Public Utilities Authority,APUA,206001,2001,Elec - Distribution,,,,,,,,,,,,,,,,,,,,,,,0,,
Antigua and Barbuda ,Antigua Public Utilities Authority,APUA,206001,2002,Elec - Distribution,26142,23835,162400.148,648.6,275,,,102888343,,,0.1849,0.0893,0.0956,0.068,0.0018,,174.8,,660.6953308,853.8994481,,,0,86.67272727,590.5459927
Antigua and Barbuda ,Antigua Public Utilities Authority,APUA,206001,2003,Elec - Distribution,27017,24596,150132.641,,296,,,116471406,4462145,120933551,,,,,,,,,793.3965785,974.2137551,,,0,83.09459459,507.2048682
Antigua and Barbuda ,Antigua Public Utilities Authority,APUA,206001,2004,Elec - Distribution,27752,25293,168833.012,665.6,275,,,130707012,9109449,139816461,0.102,,,,,,328.8,,714.0780264,923.0747552,,,0,91.97454545,613.9382255
Antigua and Barbuda ,Antigua Public Utilities Authority,APUA,206001,2005,Elec - Distribution,28724,26188,175897.223,,244,,,140000000,11400000,151400000,0.102,,,,,,,,,,,,0,107.3278689,720.8902582
Antigua and Barbuda ,Antigua Public Utilities Authority,APUA,206001,2006,Elec - Distribution,,,,,,,,,,,,,,,,,,,,,,,0,,
Antigua and Barbuda ,Antigua Public Utilities Authority,APUA,206001,2007,Elec - Distribution,,,,,,,,,,,,,,,,,,,,,,,0,,
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1987,Elec - Distribution,1409319.173,1277732.39,18003262.32,,6109.180717,,,,,,,,,,,0.91230602,,,,,,,0,209.1495488,2946.919261
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1988,Elec - Distribution,1455360.295,1320907.005,18875822.38,,6264.282732,,,,,,,,,,,0.916468405,,,,,,,0,210.8632482,3013.2456
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1989,Elec - Distribution,1502036.387,1362585.757,19740508.24,,6447.854715,,,,,,,,,,,0.918657695,,,,,,,0,211.3238926,3061.562195
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1990,Elec - Distribution,1547895.233,1403907.554,19262502.31,,6415.232877,,,,,,,,,,,0.919756785,,,,,,,0,218.8396869,3002.619341
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1991,Elec - Distribution,1604253.586,1449547.318,19737762.78,,6317.36736,,,,,,,,,,8.192151766,0.922808326,,,,,,,0,229.4543337,3124.365207
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1992,Elec - Distribution,1660382.577,1501413.247,19719429.73,,6273.179597,,,,,,,,,,8.619633279,0.928803768,,,,,,,0,239.3384764,3143.45053
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1993,Elec - Distribution,1730048.608,1565428.345,20430578.7,,6180.059075,,,,,,,,,7.740517512,9.069421561,0.941025812,,,,,,,0,253.3031362,3305.887282
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1994,Elec - Distribution,1792059.644,1621446.106,21182634.56,,6362.44481,,,,,,,,,8.03855724,9.043619509,0.947142835,,,,,,,0,254.8463922,3329.323112
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1995,Elec - Distribution,1848164.631,1671987.782,21994049.33,,6243.91193,,,,,,,,,10.96362992,11.21482893,0.949053462,,,72.71701485,,,,0,267.7788862,3522.47911
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1996,Elec - Distribution,1906026.445,1724104.879,22167852.75,,6127.587327,,,,,,,,,14.95307893,13.90730646,0.950967942,,,100.5090896,,,,0,281.3676554,3617.713069
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1997,Elec - Distribution,1962883,1775861,23387909.1,,6013.395931,,,,,,,,,15.07229482,15.3909245,0.950878668,,,110.8334547,,,,0,295.3174912,3889.301381
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1998,Elec - Distribution,2022056,1830348,22890718,,4503,,,,,,,,,16.29,13.8299003,0.948577292,,,116.47,,,,0,406.473018,5083.437264
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,1999,Elec - Distribution,2086744,1891637,22052456,,3257,,,,,,0.099,,,13.49,11.43,0.948854835,,,128.34,,,,1,580.7912189,6770.787842
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,2000,Elec - Distribution,2168525,1972141,21981649,,2799,,,,,,0.068,,,9.63,9.39,0.964171112,,,146.08,,,,1,704.5877099,7853.393712
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,2001,Elec - Distribution,2247273,2028028,20492274,,2744,,,,,,0.0487,,,10.89,12.82,0.966371867,,,168.49,,,,1,739.0772595,7468.029883
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,2002,Elec - Distribution,2397115.76,2188526.163,20221407,,2472.919355,,,,,,0.075,,,12.4,8.47,,,,199.0727938,,,,1,884.9969811,8177.139687
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,2003,Elec - Distribution,1239106,1133687,11387000,,1288,,,254014000,,254014000,0.081,,,8.19,6.45,,,,229.0045733,,,,1,880.1917702,8840.838509
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,2004,Elec - Distribution,1272529,1164452,12209000,,1214,,,323871000,119909000,443780000,0.092,,,7.13,6.11,,,,372.0391583,,,,1,959.1861614,10056.8369
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,2005,Elec - Distribution,1283387,1175375,10288572,,1216,,,441755000,117247000,559002000,0.102,,,8,6.49,,,,404.8009734,,,,1,966.5912829,8460.996711
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,2006,Elec - Distribution,1364666,1252268,7865000,25788,1102,87.66,5.359,2140530000,149582000,2290112000,0.1073,0.0497,0.0542,8.82,5.51,1,640566,2.866666667,290.4231071,185.2682294,0,,1,1136.359347,7137.023593
Brazil,Bandeirante Energia S/A.,BANDEIRANTE – SP,90367,2007,Elec - Distribution,,,,,,,,,,,,,,,,,,,,,,,1,,
Belize ,Belize Electricity Limited ,BEL,207001,1992,Elec - Distribution ,,,,,,,,,,,,,,,,,,,,,,,1,,
Belize ,Belize Electricity Limited ,BEL,207001,1993,Elec - Distribution ,,,,,,,,,,,,,,,,,,,,,,,1,,
Belize ,Belize Electricity Limited ,BEL,207001,1994,Elec - Distribution ,,,,,,,,,,,,,,,,,,,,,,,1,,
Belize ,Belize Electricity Limited ,BEL,207001,1995,Elec - Distribution ,,,,,,,,,,,,,,,,,,,,,,,1,,
Belize ,Belize Electricity Limited ,BEL,207001,1996,Elec - Distribution ,43713,38553,159538,,426,,,,10457000,,0.096,,,,,,,,,,,,1,90.5,374.5023474
